지점번호,지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,last_rain
108,서울,2015-12-19,,,,0
108,서울,2015-12-20,,,,0
108,서울,2015-12-21,2,,,0
108,서울,2015-12-22,,,,2
108,서울,2015-12-23,0.4,,,0
108,서울,2015-12-24,,,,0.4
108,서울,2015-12-25,0,,,0
108,서울,2015-12-26,0.7,,,0
108,서울,2015-12-27,,,,0.7
108,서울,2015-12-28,,,,0
108,서울,2015-12-29,,,,0
108,서울,2015-12-30,2.5,,,0
108,서울,2015-12-31,,,,2.5
108,서울,2016-01-01,,,,0
108,서울,2016-01-02,,,,0
108,서울,2016-01-03,,,,0
108,서울,2016-01-04,,,,0
108,서울,2016-01-05,,,,0
108,서울,2016-01-06,,,,0
108,서울,2016-01-07,,,,0
108,서울,2016-01-08,,,,0
108,서울,2016-01-09,,,,0
108,서울,2016-01-10,,,,0
108,서울,2016-01-11,,,,0
108,서울,2016-01-12,,,,0
108,서울,2016-01-13,0.4,,,0
108,서울,2016-01-14,0,,,0.4
108,서울,2016-01-15,,,,0
108,서울,2016-01-16,0.1,,,0
108,서울,2016-01-17,,,,0.1
108,서울,2016-01-18,0.2,,,0
108,서울,2016-01-19,,,,0.2
108,서울,2016-01-20,,,,0
108,서울,2016-01-21,,,,0
108,서울,2016-01-22,,,,0
108,서울,2016-01-23,0,,,0
108,서울,2016-01-24,,,,0
108,서울,2016-01-25,,,,0
108,서울,2016-01-26,0.3,,,0
108,서울,2016-01-27,,,,0.3
108,서울,2016-01-28,,,,0
108,서울,2016-01-29,,,,0
108,서울,2016-01-30,,,,0
108,서울,2016-01-31,,,,0
108,서울,2016-02-01,,,,0
108,서울,2016-02-02,,,,0
108,서울,2016-02-03,,,,0
108,서울,2016-02-04,,,,0
108,서울,2016-02-05,,,,0
108,서울,2016-02-06,,,,0
108,서울,2016-02-07,,,,0
108,서울,2016-02-08,,,,0
108,서울,2016-02-09,,,,0
108,서울,2016-02-10,,,,0
108,서울,2016-02-11,0.1,,,0
108,서울,2016-02-12,18,,,0.1
108,서울,2016-02-13,21,,,18
108,서울,2016-02-14,2.5,,,21
108,서울,2016-02-15,0,,,2.5
108,서울,2016-02-16,0.8,,,0
108,서울,2016-02-17,,,,0.8
108,서울,2016-02-18,,,,0
108,서울,2016-02-19,,,,0
108,서울,2016-02-20,,,,0
108,서울,2016-02-21,,,,0
108,서울,2016-02-22,0,,,0
108,서울,2016-02-23,0.9,,,0
108,서울,2016-02-24,,,,0.9
108,서울,2016-02-25,,,,0
108,서울,2016-02-26,0,,,0
108,서울,2016-02-27,0.2,,,0
108,서울,2016-02-28,4.1,,,0.2
108,서울,2016-02-29,0,,,4.1
108,서울,2016-03-01,,,,0
108,서울,2016-03-02,,,,0
108,서울,2016-03-03,,,,0
108,서울,2016-03-04,0.1,,,0
108,서울,2016-03-05,40,,,0.1
108,서울,2016-03-06,0.2,,,40
108,서울,2016-03-07,0,,,0.2
108,서울,2016-03-08,,,,0
108,서울,2016-03-09,,,,0
108,서울,2016-03-10,,,,0
108,서울,2016-03-11,,,,0
108,서울,2016-03-12,,,,0
108,서울,2016-03-13,0.1,,,0
108,서울,2016-03-14,,,,0.1
108,서울,2016-03-15,,,,0
108,서울,2016-03-16,,,,0
108,서울,2016-03-17,,,,0
108,서울,2016-03-18,,,,0
108,서울,2016-03-19,,,,0
108,서울,2016-03-20,,,,0
108,서울,2016-03-21,,,,0
108,서울,2016-03-22,,,,0
108,서울,2016-03-23,,,,0
108,서울,2016-03-24,,,,0
108,서울,2016-03-25,,,,0
108,서울,2016-03-26,,,,0
108,서울,2016-03-27,,,,0
108,서울,2016-03-28,,,,0
108,서울,2016-03-29,0.1,,,0
108,서울,2016-03-30,,,,0.1
108,서울,2016-03-31,,,,0
108,서울,2016-04-01,,,,0
108,서울,2016-04-02,,,,0
108,서울,2016-04-03,2,1,15:00,0
108,서울,2016-04-04,,,,2
108,서울,2016-04-05,,,,0
108,서울,2016-04-06,3,2.5,22:42,0
108,서울,2016-04-07,7.5,2,0:02,3
108,서울,2016-04-08,,,,7.5
108,서울,2016-04-09,,,,0
108,서울,2016-04-10,,,,0
108,서울,2016-04-11,,,,0
108,서울,2016-04-12,,,,0
108,서울,2016-04-13,1,1,6:29,0
108,서울,2016-04-14,,,,1
108,서울,2016-04-15,,,,0
108,서울,2016-04-16,23.5,7.5,19:36,0
108,서울,2016-04-17,20.5,7.5,0:38,23.5
108,서울,2016-04-18,1.5,1.5,17:07,20.5
108,서울,2016-04-19,,,,1.5
108,서울,2016-04-20,0.5,0.3,18:44,0
108,서울,2016-04-21,17,4,6:57,0.5
108,서울,2016-04-22,0,0,,17
108,서울,2016-04-23,,,,0
108,서울,2016-04-24,,,,0
108,서울,2016-04-25,,,,0
108,서울,2016-04-26,,,,0
108,서울,2016-04-27,,,,0
108,서울,2016-04-28,,,,0
108,서울,2016-04-29,0.3,0.3,2:04,0
108,서울,2016-04-30,,,,0.3
108,서울,2016-05-01,,,,0
108,서울,2016-05-02,16.5,7,21:19,0
108,서울,2016-05-03,27,6,9:04,16.5
108,서울,2016-05-04,,,,27
108,서울,2016-05-05,7.5,6,22:36,0
108,서울,2016-05-06,9.5,5,7:27,7.5
108,서울,2016-05-07,,,,9.5
108,서울,2016-05-08,,,,0
108,서울,2016-05-09,0,0,,0
108,서울,2016-05-10,13.5,2.5,9:50,0
108,서울,2016-05-11,,,,13.5
108,서울,2016-05-12,,,,0
108,서울,2016-05-13,0.5,0.5,1:10,0
108,서울,2016-05-14,,,,0.5
108,서울,2016-05-15,45,12,16:17,0
108,서울,2016-05-16,2.5,1.5,#VALUE!,45
108,서울,2016-05-17,,,,2.5
108,서울,2016-05-18,,,,0
108,서울,2016-05-19,,,,0
108,서울,2016-05-20,,,,0
108,서울,2016-05-21,,,,0
108,서울,2016-05-22,,,,0
108,서울,2016-05-23,,,,0
108,서울,2016-05-24,38.5,7.5,3:27,0
108,서울,2016-05-25,,,,38.5
108,서울,2016-05-26,0,0,,0
108,서울,2016-05-27,,,,0
108,서울,2016-05-28,,,,0
108,서울,2016-05-29,,,,0
108,서울,2016-05-30,,,,0
108,서울,2016-05-31,,,,0
108,서울,2016-06-01,,,,0
108,서울,2016-06-02,,,,0
108,서울,2016-06-03,,,,0
108,서울,2016-06-04,,,,0
108,서울,2016-06-05,,,,0
108,서울,2016-06-06,0,0,,0
108,서울,2016-06-07,0.1,0.1,,0
108,서울,2016-06-08,,,,0.1
108,서울,2016-06-09,,,,0
108,서울,2016-06-10,,,,0
108,서울,2016-06-11,3,1.5,15:07,0
108,서울,2016-06-12,1.5,1.5,#VALUE!,3
108,서울,2016-06-13,,,,1.5
108,서울,2016-06-14,0,0,,0
108,서울,2016-06-15,15.5,7,5:39,0
108,서울,2016-06-16,0,0,,15.5
108,서울,2016-06-17,,,,0
108,서울,2016-06-18,,,,0
108,서울,2016-06-19,0,0,,0
108,서울,2016-06-20,,,,0
108,서울,2016-06-21,,,,0
108,서울,2016-06-22,30.5,26,13:39,0
108,서울,2016-06-23,0.1,0.1,,30.5
108,서울,2016-06-24,3.5,1,6:19,0.1
108,서울,2016-06-25,,,,3.5
108,서울,2016-06-26,,,,0
108,서울,2016-06-27,,,,0
108,서울,2016-06-28,,,,0
108,서울,2016-06-29,,,,0
108,서울,2016-06-30,0.2,0.1,,0
108,서울,2016-07-01,108.5,31.5,14:40,0.2
108,서울,2016-07-02,4,2,1:21,108.5
108,서울,2016-07-03,,,,4
108,서울,2016-07-04,29.5,13,21:39,0
108,서울,2016-07-05,100.5,40,8:39,29.5
108,서울,2016-07-06,0,0,,100.5
108,서울,2016-07-07,0,0,,0
108,서울,2016-07-08,,,,0
108,서울,2016-07-09,,,,0
108,서울,2016-07-10,,,,0
108,서울,2016-07-11,0,0,,0
108,서울,2016-07-12,3,2,5:20,0
108,서울,2016-07-13,0,0,,3
108,서울,2016-07-14,0.1,0.1,,0
108,서울,2016-07-15,1.5,1.4,22:49,0.1
108,서울,2016-07-16,46.5,9,5:41,1.5
108,서울,2016-07-17,2.5,2.5,#VALUE!,46.5
108,서울,2016-07-18,0.2,0.2,,2.5
108,서울,2016-07-19,,,,0.2
108,서울,2016-07-20,,,,0
108,서울,2016-07-21,,,,0
108,서울,2016-07-22,,,,0
108,서울,2016-07-23,0.5,0.4,18:55,0
108,서울,2016-07-24,0.5,0.5,12:05,0.5
108,서울,2016-07-25,,,,0.5
108,서울,2016-07-26,,,,0
108,서울,2016-07-27,0.5,0.5,13:30,0
108,서울,2016-07-28,0.2,0.2,,0.5
108,서울,2016-07-29,59.5,51.5,6:26,0.2
108,서울,2016-07-30,0.5,0.5,0:00,59.5
108,서울,2016-07-31,0.2,0.1,,0.5
108,서울,2016-08-01,,,,0.2
108,서울,2016-08-02,2,2,17:58,0
108,서울,2016-08-03,,,,2
108,서울,2016-08-04,,,,0
108,서울,2016-08-05,,,,0
108,서울,2016-08-06,,,,0
108,서울,2016-08-07,,,,0
108,서울,2016-08-08,,,,0
108,서울,2016-08-09,1,0.5,16:05,0
108,서울,2016-08-10,,,,1
108,서울,2016-08-11,,,,0
108,서울,2016-08-12,,,,0
108,서울,2016-08-13,,,,0
108,서울,2016-08-14,0.2,0.2,,0
108,서울,2016-08-15,0,0,,0.2
108,서울,2016-08-16,0.5,0.5,15:30,0
108,서울,2016-08-17,,,,0.5
108,서울,2016-08-18,,,,0
108,서울,2016-08-19,11.5,11.5,16:44,0
108,서울,2016-08-20,,,,11.5
108,서울,2016-08-21,0,0,,0
108,서울,2016-08-22,0.4,0.4,,0
108,서울,2016-08-23,8,7,15:05,0.4
108,서울,2016-08-24,0,0,,8
108,서울,2016-08-25,4.5,3.5,19:14,0
108,서울,2016-08-26,20,6.5,2:56,4.5
108,서울,2016-08-27,0,0,,20
108,서울,2016-08-28,1.5,1.5,16:11,0
108,서울,2016-08-29,,,,1.5
108,서울,2016-08-30,0,0,,0
108,서울,2016-08-31,17.5,3,10:43,0
108,서울,2016-09-01,,,,17.5
108,서울,2016-09-02,4.5,4.5,2:05,0
108,서울,2016-09-03,0.5,0.5,0:25,4.5
108,서울,2016-09-04,,,,0.5
108,서울,2016-09-05,,,,0
108,서울,2016-09-06,,,,0
108,서울,2016-09-07,,,,0
108,서울,2016-09-08,4.5,3.5,11:54,0
108,서울,2016-09-09,,,,4.5
108,서울,2016-09-10,,,,0
108,서울,2016-09-11,,,,0
108,서울,2016-09-12,2.5,2.5,13:58,0
108,서울,2016-09-13,,,,2.5
108,서울,2016-09-14,,,,0
108,서울,2016-09-15,,,,0
108,서울,2016-09-16,,,,0
108,서울,2016-09-17,7,3.5,6:28,0
108,서울,2016-09-18,,,,7
108,서울,2016-09-19,,,,0
108,서울,2016-09-20,,,,0
108,서울,2016-09-21,,,,0
108,서울,2016-09-22,,,,0
108,서울,2016-09-23,,,,0
108,서울,2016-09-24,,,,0
108,서울,2016-09-25,,,,0
108,서울,2016-09-26,,,,0
108,서울,2016-09-27,13.5,4,13:41,0
108,서울,2016-09-28,0.5,0.5,0:01,13.5
108,서울,2016-09-29,,,,0.5
108,서울,2016-09-30,,,,0
108,서울,2016-10-01,,,,0
108,서울,2016-10-02,18.5,6.5,17:00,0
108,서울,2016-10-03,6.5,2,5:58,18.5
108,서울,2016-10-04,,,,6.5
108,서울,2016-10-05,,,,0
108,서울,2016-10-06,,,,0
108,서울,2016-10-07,2,1,22:58,0
108,서울,2016-10-08,6,2.5,0:06,2
108,서울,2016-10-09,,,,6
108,서울,2016-10-10,,,,0
108,서울,2016-10-11,,,,0
108,서울,2016-10-12,,,,0
108,서울,2016-10-13,,,,0
108,서울,2016-10-14,,,,0
108,서울,2016-10-15,,,,0
108,서울,2016-10-16,1.5,0.5,13:59,0
108,서울,2016-10-17,,,,1.5
108,서울,2016-10-18,,,,0
108,서울,2016-10-19,,,,0
108,서울,2016-10-20,,,,0
108,서울,2016-10-21,,,,0
108,서울,2016-10-22,,,,0
108,서울,2016-10-23,2.5,1.5,15:03,0
108,서울,2016-10-24,,,,2.5
108,서울,2016-10-25,37,10,7:15,0
108,서울,2016-10-26,0,0,,37
108,서울,2016-10-27,,,,0
108,서울,2016-10-28,0.3,0.2,,0
108,서울,2016-10-29,,,,0.3
108,서울,2016-10-30,,,,0
108,서울,2016-10-31,0.5,0.3,6:46,0
108,서울,2016-11-01,,,,0.5
108,서울,2016-11-02,0.1,,,0
108,서울,2016-11-03,0.2,,,0.1
108,서울,2016-11-04,0,,,0.2
108,서울,2016-11-05,0,,,0
108,서울,2016-11-06,,,,0
108,서울,2016-11-07,5.5,,,0
108,서울,2016-11-08,0.5,,,5.5
108,서울,2016-11-09,,,,0.5
108,서울,2016-11-10,0.4,,,0
108,서울,2016-11-11,4,,,0.4
108,서울,2016-11-12,,,,4
108,서울,2016-11-13,0.5,,,0
108,서울,2016-11-14,1.5,,,0.5
108,서울,2016-11-15,,,,1.5
108,서울,2016-11-16,,,,0
108,서울,2016-11-17,,,,0
108,서울,2016-11-18,0,,,0
108,서울,2016-11-19,0,,,0
108,서울,2016-11-20,,,,0
108,서울,2016-11-21,,,,0
108,서울,2016-11-22,0.2,,,0
108,서울,2016-11-23,,,,0.2
108,서울,2016-11-24,,,,0
108,서울,2016-11-25,,,,0
108,서울,2016-11-26,2.8,,,0
108,서울,2016-11-27,0,,,2.8
108,서울,2016-11-28,,,,0
108,서울,2016-11-29,,,,0
108,서울,2016-11-30,1,,,0
108,서울,2016-12-01,,,,1
108,서울,2016-12-02,,,,0
108,서울,2016-12-03,,,,0
108,서울,2016-12-04,,,,0
108,서울,2016-12-05,1.5,,,0
108,서울,2016-12-06,,,,1.5
108,서울,2016-12-07,0,,,0
108,서울,2016-12-08,3,,,0
108,서울,2016-12-09,3,,,3
108,서울,2016-12-10,,,,3
108,서울,2016-12-11,,,,0
108,서울,2016-12-12,,,,0
108,서울,2016-12-13,,,,0
108,서울,2016-12-14,0.1,,,0
108,서울,2016-12-15,,,,0.1
108,서울,2016-12-16,,,,0
108,서울,2016-12-17,0,,,0
108,서울,2016-12-18,,,,0
108,서울,2016-12-19,0.1,,,0
108,서울,2016-12-20,,,,0.1
108,서울,2016-12-21,29,,,0
108,서울,2016-12-22,23.5,,,29
108,서울,2016-12-23,0.1,,,23.5
108,서울,2016-12-24,,,,0.1
108,서울,2016-12-25,,,,0
108,서울,2016-12-26,0,,,0
108,서울,2016-12-27,0.5,,,0
108,서울,2016-12-28,,,,0.5
108,서울,2016-12-29,0.3,,,0
108,서울,2016-12-30,,,,0.3
108,서울,2016-12-31,0,,,0
108,서울,2017-01-01,,,,0
108,서울,2017-01-02,0.3,,,0
108,서울,2017-01-03,,,,0.3
108,서울,2017-01-04,,,,0
108,서울,2017-01-05,,,,0
108,서울,2017-01-06,,,,0
108,서울,2017-01-07,,,,0
108,서울,2017-01-08,0,,,0
108,서울,2017-01-09,0,,,0
108,서울,2017-01-10,,,,0
108,서울,2017-01-11,,,,0
108,서울,2017-01-12,0,,,0
108,서울,2017-01-13,0.6,,,0
108,서울,2017-01-14,,,,0.6
108,서울,2017-01-15,,,,0
108,서울,2017-01-16,,,,0
108,서울,2017-01-17,,,,0
108,서울,2017-01-18,0,,,0
108,서울,2017-01-19,,,,0
108,서울,2017-01-20,4,,,0
108,서울,2017-01-21,2.1,,,4
108,서울,2017-01-22,0,,,2.1
108,서울,2017-01-23,,,,0
108,서울,2017-01-24,,,,0
108,서울,2017-01-25,,,,0
108,서울,2017-01-26,0.3,,,0
108,서울,2017-01-27,3,,,0.3
108,서울,2017-01-28,,,,3
108,서울,2017-01-29,4.5,,,0
108,서울,2017-01-30,0.1,,,4.5
108,서울,2017-01-31,,,,0.1
108,서울,2017-02-01,,,,0
108,서울,2017-02-02,,,,0
108,서울,2017-02-03,,,,0
108,서울,2017-02-04,,,,0
108,서울,2017-02-05,0.5,,,0
108,서울,2017-02-06,,,,0.5
108,서울,2017-02-07,,,,0
108,서울,2017-02-08,,,,0
108,서울,2017-02-09,,,,0
108,서울,2017-02-10,,,,0
108,서울,2017-02-11,,,,0
108,서울,2017-02-12,,,,0
108,서울,2017-02-13,,,,0
108,서울,2017-02-14,,,,0
108,서울,2017-02-15,,,,0
108,서울,2017-02-16,0,,,0
108,서울,2017-02-17,4,,,0
108,서울,2017-02-18,,,,4
108,서울,2017-02-19,1,,,0
108,서울,2017-02-20,0.5,,,1
108,서울,2017-02-21,,,,0.5
108,서울,2017-02-22,5.1,,,0
108,서울,2017-02-23,,,,5.1
108,서울,2017-02-24,,,,0
108,서울,2017-02-25,,,,0
108,서울,2017-02-26,,,,0
108,서울,2017-02-27,,,,0
108,서울,2017-02-28,,,,0
108,서울,2017-03-01,5,,,0
108,서울,2017-03-02,0.5,,,5
108,서울,2017-03-03,,,,0.5
108,서울,2017-03-04,,,,0
108,서울,2017-03-05,0.5,,,0
108,서울,2017-03-06,,,,0.5
108,서울,2017-03-07,0,,,0
108,서울,2017-03-08,0,,,0
108,서울,2017-03-09,,,,0
108,서울,2017-03-10,,,,0
108,서울,2017-03-11,,,,0
108,서울,2017-03-12,0,,,0
108,서울,2017-03-13,,,,0
108,서울,2017-03-14,,,,0
108,서울,2017-03-15,,,,0
108,서울,2017-03-16,,,,0
108,서울,2017-03-17,,,,0
108,서울,2017-03-18,,,,0
108,서울,2017-03-19,,,,0
108,서울,2017-03-20,,,,0
108,서울,2017-03-21,,,,0
108,서울,2017-03-22,,,,0
108,서울,2017-03-23,,,,0
108,서울,2017-03-24,,,,0
108,서울,2017-03-25,,,,0
108,서울,2017-03-26,,,,0
108,서울,2017-03-27,0.4,,,0
108,서울,2017-03-28,,,,0.4
108,서울,2017-03-29,,,,0
108,서울,2017-03-30,,,,0
108,서울,2017-03-31,1.5,,,0
108,서울,2017-04-01,1,1,15:30,1.5
108,서울,2017-04-02,,,,1
108,서울,2017-04-03,,,,0
108,서울,2017-04-04,,,,0
108,서울,2017-04-05,37.5,8.5,22:31,0
108,서울,2017-04-06,3,2,0:01,37.5
108,서울,2017-04-07,,,,3
108,서울,2017-04-08,0.5,0.5,22:38,0
108,서울,2017-04-09,0.5,0.5,0:08,0.5
108,서울,2017-04-10,,,,0.5
108,서울,2017-04-11,,,,0
108,서울,2017-04-12,,,,0
108,서울,2017-04-13,0,0,,0
108,서울,2017-04-14,6,5.5,12:28,0
108,서울,2017-04-15,,,,6
108,서울,2017-04-16,,,,0
108,서울,2017-04-17,5.5,2.5,13:04,0
108,서울,2017-04-18,7.5,3,12:05,5.5
108,서울,2017-04-19,,,,7.5
108,서울,2017-04-20,0.1,0.1,,0
108,서울,2017-04-21,,,,0.1
108,서울,2017-04-22,,,,0
108,서울,2017-04-23,,,,0
108,서울,2017-04-24,,,,0
108,서울,2017-04-25,,,,0
108,서울,2017-04-26,,,,0
108,서울,2017-04-27,,,,0
108,서울,2017-04-28,,,,0
108,서울,2017-04-29,,,,0
108,서울,2017-04-30,,,,0
108,서울,2017-05-01,,,,0
108,서울,2017-05-02,,,,0
108,서울,2017-05-03,,,,0
108,서울,2017-05-04,,,,0
108,서울,2017-05-05,,,,0
108,서울,2017-05-06,,,,0
108,서울,2017-05-07,,,,0
108,서울,2017-05-08,,,,0
108,서울,2017-05-09,2.5,1.5,16:14,0
108,서울,2017-05-10,2.5,1,3:46,2.5
108,서울,2017-05-11,0,0,,2.5
108,서울,2017-05-12,,,,0
108,서울,2017-05-13,6,6,14:14,0
108,서울,2017-05-14,,,,6
108,서울,2017-05-15,0,0,,0
108,서울,2017-05-16,,,,0
108,서울,2017-05-17,,,,0
108,서울,2017-05-18,,,,0
108,서울,2017-05-19,,,,0
108,서울,2017-05-20,,,,0
108,서울,2017-05-21,,,,0
108,서울,2017-05-22,,,,0
108,서울,2017-05-23,5,4,18:37,0
108,서울,2017-05-24,0.1,0.1,,5
108,서울,2017-05-25,,,,0.1
108,서울,2017-05-26,,,,0
108,서울,2017-05-27,,,,0
108,서울,2017-05-28,,,,0
108,서울,2017-05-29,,,,0
108,서울,2017-05-30,,,,0
108,서울,2017-05-31,,,,0
108,서울,2017-06-01,,,,0
108,서울,2017-06-02,0,0,,0
108,서울,2017-06-03,,,,0
108,서울,2017-06-04,,,,0
108,서울,2017-06-05,0,0,,0
108,서울,2017-06-06,15.5,8.5,20:10,0
108,서울,2017-06-07,12.5,4,#VALUE!,15.5
108,서울,2017-06-08,,,,12.5
108,서울,2017-06-09,0.1,0.1,,0
108,서울,2017-06-10,4.5,4,5:13,0.1
108,서울,2017-06-11,,,,4.5
108,서울,2017-06-12,,,,0
108,서울,2017-06-13,0,0,,0
108,서울,2017-06-14,,,,0
108,서울,2017-06-15,,,,0
108,서울,2017-06-16,,,,0
108,서울,2017-06-17,,,,0
108,서울,2017-06-18,,,,0
108,서울,2017-06-19,,,,0
108,서울,2017-06-20,0,0,,0
108,서울,2017-06-21,0,0,,0
108,서울,2017-06-22,,,,0
108,서울,2017-06-23,,,,0
108,서울,2017-06-24,3.5,2.5,22:45,0
108,서울,2017-06-25,1.5,0.9,15:55,3.5
108,서울,2017-06-26,29,17,8:15,1.5
108,서울,2017-06-27,0,0,,29
108,서울,2017-06-28,,,,0
108,서울,2017-06-29,,,,0
108,서울,2017-06-30,,,,0
108,서울,2017-07-01,0.5,0.5,18:59,0
108,서울,2017-07-02,92,43,22:47,0.5
108,서울,2017-07-03,67.5,53,0:05,92
108,서울,2017-07-04,0.5,0.5,3:05,67.5
108,서울,2017-07-05,,,,0.5
108,서울,2017-07-06,34,25,17:50,0
108,서울,2017-07-07,16.5,9,19:00,34
108,서울,2017-07-08,4.5,1.5,5:35,16.5
108,서울,2017-07-09,32.5,8,2:10,4.5
108,서울,2017-07-10,144.5,32,19:35,32.5
108,서울,2017-07-11,1,1,0:01,144.5
108,서울,2017-07-12,0,0,,1
108,서울,2017-07-13,,,,0
108,서울,2017-07-14,0,0,,0
108,서울,2017-07-15,42.5,17.5,4:16,0
108,서울,2017-07-16,22.5,12.5,4:11,42.5
108,서울,2017-07-17,7.5,6.5,13:35,22.5
108,서울,2017-07-18,2.5,1,4:47,7.5
108,서울,2017-07-19,,,,2.5
108,서울,2017-07-20,,,,0
108,서울,2017-07-21,,,,0
108,서울,2017-07-22,0.5,0.4,5:41,0
108,서울,2017-07-23,133.5,48,10:41,0.5
108,서울,2017-07-24,3,2,12:04,133.5
108,서울,2017-07-25,,,,3
108,서울,2017-07-26,,,,0
108,서울,2017-07-27,3.5,3.5,23:09,0
108,서울,2017-07-28,8.5,2,4:28,3.5
108,서울,2017-07-29,0,0,,8.5
108,서울,2017-07-30,,,,0
108,서울,2017-07-31,3.5,2,8:56,0
108,서울,2017-08-01,2,1.5,1:35,3.5
108,서울,2017-08-02,,,,2
108,서울,2017-08-03,,,,0
108,서울,2017-08-04,,,,0
108,서울,2017-08-05,0,0,,0
108,서울,2017-08-06,5,5,10:25,0
108,서울,2017-08-07,,,,5
108,서울,2017-08-08,,,,0
108,서울,2017-08-09,2.5,2,22:48,0
108,서울,2017-08-10,5.5,1.5,0:27,2.5
108,서울,2017-08-11,0.5,0.5,6:50,5.5
108,서울,2017-08-12,,,,0.5
108,서울,2017-08-13,0,0,,0
108,서울,2017-08-14,1.5,1,18:20,0
108,서울,2017-08-15,93.5,35.5,10:22,1.5
108,서울,2017-08-16,2,1.5,21:45,93.5
108,서울,2017-08-17,0.5,0.5,,2
108,서울,2017-08-18,0,0,,0.5
108,서울,2017-08-19,0,0,,0
108,서울,2017-08-20,124.5,32.5,21:17,0
108,서울,2017-08-21,5,2.5,13:50,124.5
108,서울,2017-08-22,,,,5
108,서울,2017-08-23,31.5,16.5,8:49,0
108,서울,2017-08-24,14,6.5,12:55,31.5
108,서울,2017-08-25,,,,14
108,서울,2017-08-26,,,,0
108,서울,2017-08-27,0,0,,0
108,서울,2017-08-28,9,5.5,17:06,0
108,서울,2017-08-29,,,,9
108,서울,2017-08-30,,,,0
108,서울,2017-08-31,,,,0
108,서울,2017-09-01,,,,0
108,서울,2017-09-02,,,,0
108,서울,2017-09-03,,,,0
108,서울,2017-09-04,,,,0
108,서울,2017-09-05,0,0,,0
108,서울,2017-09-06,2,1,14:23,0
108,서울,2017-09-07,,,,2
108,서울,2017-09-08,,,,0
108,서울,2017-09-09,,,,0
108,서울,2017-09-10,0.5,0.4,22:49,0
108,서울,2017-09-11,24,9,1:53,0.5
108,서울,2017-09-12,,,,24
108,서울,2017-09-13,,,,0
108,서울,2017-09-14,,,,0
108,서울,2017-09-15,,,,0
108,서울,2017-09-16,,,,0
108,서울,2017-09-17,,,,0
108,서울,2017-09-18,,,,0
108,서울,2017-09-19,8,8,20:09,0
108,서울,2017-09-20,,,,8
108,서울,2017-09-21,,,,0
108,서울,2017-09-22,,,,0
108,서울,2017-09-23,0,0,,0
108,서울,2017-09-24,0,0,,0
108,서울,2017-09-25,,,,0
108,서울,2017-09-26,0,0,,0
108,서울,2017-09-27,0.5,0.5,1:53,0
108,서울,2017-09-28,,,,0.5
108,서울,2017-09-29,,,,0
108,서울,2017-09-30,,,,0
108,서울,2017-10-01,4,1.1,13:00,0
108,서울,2017-10-02,1.5,1,0:09,4
108,서울,2017-10-03,,,,1.5
108,서울,2017-10-04,,,,0
108,서울,2017-10-05,,,,0
108,서울,2017-10-06,0.5,0.5,22:32,0
108,서울,2017-10-07,0,0,,0.5
108,서울,2017-10-08,,,,0
108,서울,2017-10-09,0,0,,0
108,서울,2017-10-10,0.4,0.3,23:05,0
108,서울,2017-10-11,20,6,0:38,0.4
108,서울,2017-10-12,,,,20
108,서울,2017-10-13,,,,0
108,서울,2017-10-14,,,,0
108,서울,2017-10-15,,,,0
108,서울,2017-10-16,,,,0
108,서울,2017-10-17,,,,0
108,서울,2017-10-18,0.1,0.1,,0
108,서울,2017-10-19,,,,0.1
108,서울,2017-10-20,,,,0
108,서울,2017-10-21,,,,0
108,서울,2017-10-22,,,,0
108,서울,2017-10-23,,,,0
108,서울,2017-10-24,,,,0
108,서울,2017-10-25,,,,0
108,서울,2017-10-26,,,,0
108,서울,2017-10-27,,,,0
108,서울,2017-10-28,,,,0
108,서울,2017-10-29,,,,0
108,서울,2017-10-30,,,,0
108,서울,2017-10-31,,,,0
108,서울,2017-11-01,,,,0
108,서울,2017-11-02,1,,,0
108,서울,2017-11-03,1.5,,,1
108,서울,2017-11-04,,,,1.5
108,서울,2017-11-05,,,,0
108,서울,2017-11-06,,,,0
108,서울,2017-11-07,0,,,0
108,서울,2017-11-08,0,,,0
108,서울,2017-11-09,,,,0
108,서울,2017-11-10,7.5,,,0
108,서울,2017-11-11,,,,7.5
108,서울,2017-11-12,,,,0
108,서울,2017-11-13,4.5,,,0
108,서울,2017-11-14,,,,4.5
108,서울,2017-11-15,,,,0
108,서울,2017-11-16,,,,0
108,서울,2017-11-17,0,,,0
108,서울,2017-11-18,,,,0
108,서울,2017-11-19,,,,0
108,서울,2017-11-20,0,,,0
108,서울,2017-11-21,,,,0
108,서울,2017-11-22,0.5,,,0
108,서울,2017-11-23,1.2,,,0.5
108,서울,2017-11-24,0,,,1.2
108,서울,2017-11-25,24,,,0
108,서울,2017-11-26,,,,24
108,서울,2017-11-27,,,,0
108,서울,2017-11-28,0.5,,,0
108,서울,2017-11-29,0,,,0.5
108,서울,2017-11-30,,,,0
108,서울,2017-12-01,0,,,0
108,서울,2017-12-02,,,,0
108,서울,2017-12-03,4,,,0
108,서울,2017-12-04,0.1,,,4
108,서울,2017-12-05,0.1,,,0.1
108,서울,2017-12-06,1.2,,,0.1
108,서울,2017-12-07,,,,1.2
108,서울,2017-12-08,,,,0
108,서울,2017-12-09,,,,0
108,서울,2017-12-10,4.1,,,0
108,서울,2017-12-11,,,,4.1
108,서울,2017-12-12,,,,0
